Class,'handicapped infants','water project cost sharing','adoption of the budget resolution','physician fee freeze','el salvador aid','religious groups in schools','anti satellite test ban','aid to nicaraguan contras','mx missile',' immigration','synfuels corporation cutback','education spending','superfund right to sue',crime,' duty free exports','export administration act south africa'
republican,n,n,n,y,y,y,n,n,n,y,Unknown,y,y,y,n,y
democrat,y,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
democrat,y,n,y,n,y,y,y,n,y,y,n,n,y,y,n,Unknown
democrat,y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y
republican,y,y,n,y,y,y,n,n,n,y,y,n,y,n,n,n
republican,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y
democrat,n,y,n,n,y,y,n,n,n,y,y,n,y,y,n,n
democrat,y,n,y,n,n,n,y,y,n,y,y,n,n,n,n,Unknown
democrat,y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,Unknown
democrat,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
democrat,y,y,y,n,Unknown,y,y,y,n,y,Unknown,Unknown,n,n,y,y
democrat,y,y,y,n,Unknown,n,y,y,y,y,n,n,n,n,y,Unknown
democrat,n,y,y,y,y,y,n,n,n,n,y,y,Unknown,y,n,n
democrat,n,y,y,Unknown,y,y,n,y,n,y,Unknown,n,y,y,Unknown,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
democrat,n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n
democrat,y,Unknown,y,n,n,n,y,y,y,n,y,n,n,n,y,y
republican,n,y,n,y,y,y,Unknown,Unknown,n,n,Unknown,Unknown,y,Unknown,Unknown,Unknown
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
democrat,y,y,y,n,n,y,Unknown,y,y,n,y,n,y,n,y,y
democrat,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,Unknown
democrat,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,Unknown
democrat,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y
democrat,y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y
democrat,y,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n
democrat,n,Unknown,y,n,y,y,n,y,n,n,y,n,n,n,n,Unknown
democrat,y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,Unknown
democrat,n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,Unknown
democrat,y,n,y,n,n,n,y,y,y,Unknown,y,n,n,n,y,Unknown
democrat,Unknown,Unknown,n,n,Unknown,y,Unknown,n,n,n,y,y,n,y,n,Unknown
democrat,y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n
republican,y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y
republican,Unknown,Unknown,Unknown,Unknown,n,y,n,y,y,n,n,y,y,n,n,Unknown
democrat,y,y,Unknown,Unknown,Unknown,y,n,n,n,n,y,n,y,n,n,y
democrat,y,y,y,Unknown,n,n,n,y,n,n,y,Unknown,n,n,y,y
democrat,y,y,y,n,y,y,n,y,n,n,y,n,y,n,y,y
democrat,y,y,n,n,y,Unknown,n,n,n,n,y,n,y,y,n,y
democrat,n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y
republican,n,y,n,y,Unknown,y,n,n,n,y,n,y,y,y,n,n
republican,n,y,n,y,y,y,n,Unknown,n,n,Unknown,Unknown,Unknown,y,n,Unknown
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
republican,Unknown,n,y,y,n,y,y,y,y,y,n,y,n,y,n,y
republican,n,y,n,y,y,y,n,n,n,y,n,y,Unknown,y,n,n
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
democrat,y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y
democrat,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
democrat,y,n,y,n,n,y,y,y,y,n,n,y,Unknown,y,y,y
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
republican,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y
democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
republican,y,y,y,y,y,y,y,y,n,y,Unknown,Unknown,Unknown,y,n,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
democrat,n,y,y,n,n,y,y,y,Unknown,y,n,n,n,n,n,y
republican,y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y
democrat,y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y
democrat,y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
republican,y,y,y,y,y,y,y,y,n,y,n,n,y,y,n,y
democrat,n,y,y,n,y,y,y,y,n,n,y,n,y,n,y,y
democrat,n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y
democrat,n,y,y,n,n,y,y,y,y,n,y,n,n,y,y,y
democrat,n,y,y,n,n,Unknown,y,y,y,y,y,n,Unknown,y,y,y
democrat,n,n,y,n,n,n,y,y,n,y,y,n,n,n,y,Unknown
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
republican,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y
democrat,Unknown,Unknown,Unknown,n,n,n,y,y,y,y,n,n,y,n,y,y
democrat,y,n,y,n,Unknown,n,y,y,y,y,n,y,n,Unknown,y,y
republican,n,n,y,y,y,y,n,n,y,y,n,y,y,y,n,y
democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
republican,n,Unknown,n,y,y,y,n,n,n,n,y,y,y,y,n,y
republican,n,n,n,y,y,y,Unknown,Unknown,Unknown,Unknown,n,y,y,y,n,y
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,Unknown,n
